#T	β	c	e	chi	s
0.0285714	35	1.81606e-06	-2.19299	11.4729	-0.391597
0.02849	35.1	1.82554e-06	-2.19299	11.5056	-0.391597
0.0284091	35.2	1.83373e-06	-2.19299	11.5384	-0.391597
0.0283286	35.3	1.84277e-06	-2.19299	11.5712	-0.391597
0.0282486	35.4	1.85356e-06	-2.19299	11.604	-0.391597
0.028169	35.5	1.86321e-06	-2.19299	11.6367	-0.391597
0.0280899	35.6	1.87106e-06	-2.19299	11.6695	-0.391597
0.0280112	35.7	1.88024e-06	-2.19299	11.7023	-0.391597
0.027933	35.8	1.88994e-06	-2.19299	11.7351	-0.391597
0.0278552	35.9	1.89974e-06	-2.19299	11.7679	-0.391597
0.0277778	36	1.90791e-06	-2.19299	11.8006	-0.391597
0.0277008	36.1	1.9159e-06	-2.19299	11.8334	-0.391597
0.0276243	36.2	1.92605e-06	-2.19299	11.8662	-0.391597
0.0275482	36.3	1.93619e-06	-2.19299	11.899	-0.391597
0.0274725	36.4	1.94306e-06	-2.19299	11.9318	-0.391597
0.0273973	36.5	1.95375e-06	-2.19299	11.9645	-0.391597
0.0273224	36.6	1.96202e-06	-2.19299	11.9973	-0.391597
0.027248	36.7	1.97213e-06	-2.19299	12.0301	-0.391597
0.0271739	36.8	1.97917e-06	-2.19299	12.0629	-0.391597
0.0271003	36.9	1.98872e-06	-2.19299	12.0957	-0.391597
0.027027	37	1.99791e-06	-2.19299	12.1284	-0.391597
0.0269542	37.1	2.006e-06	-2.19299	12.1612	-0.391597
0.0268817	37.2	2.01406e-06	-2.19299	12.194	-0.391597
0.0268097	37.3	2.024e-06	-2.19299	12.2268	-0.391597
0.026738	37.4	2.03111e-06	-2.19299	12.2596	-0.391597
0.0266667	37.5	2.04301e-06	-2.19299	12.2923	-0.391597
0.0265957	37.6	2.04968e-06	-2.19299	12.3251	-0.391597
0.0265252	37.7	2.0591e-06	-2.19299	12.3579	-0.391597
0.026455	37.8	2.06835e-06	-2.19299	12.3907	-0.391597
0.0263852	37.9	2.07852e-06	-2.19299	12.4235	-0.391597
0.0263158	38	2.08632e-06	-2.19299	12.4562	-0.391597
0.0262467	38.1	2.0969e-06	-2.19299	12.489	-0.391597
0.026178	38.2	2.10589e-06	-2.19299	12.5218	-0.391597
0.0261097	38.3	2.1168e-06	-2.19299	12.5546	-0.391597
0.0260417	38.4	2.12549e-06	-2.19299	12.5874	-0.391597
0.025974	38.5	2.13515e-06	-2.19299	12.6201	-0.391597
0.0259067	38.6	2.1449e-06	-2.19299	12.6529	-0.391597
0.0258398	38.7	2.15525e-06	-2.19299	12.6857	-0.391597
0.0257732	38.8	2.16599e-06	-2.19299	12.7185	-0.391597
0.0257069	38.9	2.17629e-06	-2.19299	12.7513	-0.391597
0.025641	39	2.18435e-06	-2.19299	12.784	-0.391597
0.0255754	39.1	2.19601e-06	-2.19299	12.8168	-0.391597
0.0255102	39.2	2.2062e-06	-2.19299	12.8496	-0.391597
0.0254453	39.3	2.2139e-06	-2.19299	12.8824	-0.391597
0.0253807	39.4	2.2229e-06	-2.19299	12.9152	-0.391597
0.0253165	39.5	2.23511e-06	-2.19299	12.9479	-0.391597
0.0252525	39.6	2.24303e-06	-2.19299	12.9807	-0.391597
0.0251889	39.7	2.24929e-06	-2.19299	13.0135	-0.391597
0.0251256	39.8	2.25863e-06	-2.19299	13.0463	-0.391597
