#T	β	c	e	chiz	chic	s
0.0425532	23.5	0.00109664	-1.71919	6.5456e-09	3.26805e-09	0.0301867
0.0423729	23.6	0.00107848	-1.71919	6.48355e-09	3.42758e-09	0.0301826
0.0421941	23.7	0.00106077	-1.71919	6.43225e-09	3.61341e-09	0.0301787
0.0420168	23.8	0.0010435	-1.71919	6.39008e-09	3.82287e-09	0.0301748
0.041841	23.9	0.00102667	-1.71919	6.35554e-09	4.05272e-09	0.030171
0.0416667	24	0.00101027	-1.71919	6.32732e-09	4.29936e-09	0.0301673
0.0414938	24.1	0.000994289	-1.71919	6.30439e-09	4.55937e-09	0.0301637
0.0413223	24.2	0.000978717	-1.71919	6.28596e-09	4.82966e-09	0.0301602
0.0411523	24.3	0.000963547	-1.71919	6.27151e-09	5.1084e-09	0.0301568
0.0409836	24.4	0.000948772	-1.71919	6.26075e-09	5.39363e-09	0.0301535
0.0408163	24.5	0.000934383	-1.71919	6.25357e-09	5.68429e-09	0.0301502
0.0406504	24.6	0.000920371	-1.71919	6.24996e-09	5.97887e-09	0.030147
0.0404858	24.7	0.00090673	-1.71919	6.24993e-09	6.27687e-09	0.0301439
0.0403226	24.8	0.000893453	-1.71919	6.25346e-09	6.57605e-09	0.0301409
0.0401606	24.9	0.000880532	-1.71919	6.2605e-09	6.87401e-09	0.0301379
0.04	25	0.000867959	-1.71919	6.27089e-09	7.16759e-09	0.030135
0.0398406	25.1	0.000855729	-1.71919	6.28442e-09	7.45286e-09	0.0301322
0.0396825	25.2	0.000843833	-1.71919	6.30078e-09	7.72506e-09	0.0301294
0.0395257	25.3	0.000832265	-1.71919	6.3196e-09	7.97969e-09	0.0301267
0.0393701	25.4	0.000821018	-1.71919	6.34045e-09	8.21092e-09	0.0301241
0.0392157	25.5	0.000810086	-1.71919	6.36284e-09	8.41408e-09	0.0301215
0.0390625	25.6	0.000799463	-1.71919	6.38624e-09	8.58374e-09	0.030119
0.0389105	25.7	0.000789141	-1.71919	6.41008e-09	8.71653e-09	0.0301165
0.0387597	25.8	0.000779115	-1.71919	6.43379e-09	8.80894e-09	0.0301141
0.03861	25.9	0.000769378	-1.71919	6.45684e-09	8.85976e-09	0.0301117
0.0384615	26	0.000759927	-1.71919	6.47873e-09	8.86812e-09	0.0301094
0.0383142	26.1	0.000750753	-1.71919	6.49903e-09	8.83584e-09	0.0301072
0.0381679	26.2	0.000741851	-1.71919	6.51742e-09	8.76572e-09	0.030105
