#T	β	c	e	chiz	chic	s
0.0338983	29.5	0.000418933	-1.35756	4.36254e-06	6.31426e-06	0.01622
0.0337838	29.6	0.000419882	-1.35756	4.19065e-06	6.07071e-06	0.0162199
0.03367	29.7	0.00042089	-1.35756	4.02559e-06	5.83663e-06	0.0162197
0.033557	29.8	0.000421953	-1.35756	3.8671e-06	5.61164e-06	0.0162196
0.0334448	29.9	0.00042307	-1.35756	3.71491e-06	5.39539e-06	0.0162195
0.0333333	30	0.000424241	-1.35756	3.56877e-06	5.18755e-06	0.0162194
0.0332226	30.1	0.000425462	-1.35756	3.42844e-06	4.9878e-06	0.0162193
0.0331126	30.2	0.000426733	-1.35756	3.2937e-06	4.79581e-06	0.0162192
0.0330033	30.3	0.000428052	-1.35756	3.16432e-06	4.61129e-06	0.0162191
0.0328947	30.4	0.000429419	-1.35756	3.04009e-06	4.43395e-06	0.016219
0.0327869	30.5	0.000430832	-1.35756	2.92081e-06	4.26352e-06	0.0162189
0.0326797	30.6	0.00043229	-1.35756	2.80627e-06	4.09972e-06	0.0162188
0.0325733	30.7	0.000433791	-1.35756	2.69629e-06	3.94229e-06	0.0162188
0.0324675	30.8	0.000435335	-1.35756	2.5907e-06	3.791e-06	0.0162187
0.0323625	30.9	0.00043692	-1.35756	2.48931e-06	3.6456e-06	0.0162186
0.0322581	31	0.000438546	-1.35756	2.39195e-06	3.50587e-06	0.0162185
0.0321543	31.1	0.000440209	-1.35756	2.29847e-06	3.37158e-06	0.0162185
0.0320513	31.2	0.000441912	-1.35756	2.20872e-06	3.24253e-06	0.0162184
0.0319489	31.3	0.00044365	-1.35756	2.12254e-06	3.11851e-06	0.0162183
0.0318471	31.4	0.000445425	-1.35756	2.03979e-06	2.99933e-06	0.0162183
0.031746	31.5	0.000447234	-1.35756	1.96034e-06	2.88479e-06	0.0162182
0.0316456	31.6	0.000449077	-1.35756	1.88406e-06	2.77472e-06	0.0162182
0.0315457	31.7	0.000450952	-1.35756	1.81081e-06	2.66895e-06	0.0162181
0.0314465	31.8	0.00045286	-1.35756	1.74048e-06	2.56731e-06	0.016218
0.031348	31.9	0.000454799	-1.35756	1.67296e-06	2.46963e-06	0.016218
0.03125	32	0.000456768	-1.35756	1.60813e-06	2.37577e-06	0.0162179
0.0311526	32.1	0.000458767	-1.35756	1.54588e-06	2.28557e-06	0.0162179
